Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,Test R2
Tuned Random Forest,25.523517633917155,41.8721428838903,48.45093381684438,72.7485277655578,0.7814614145491849,0.5136571042798945
Random Forest,41.77056237386628,44.3881255780483,75.6461599646272,78.75618153392011,0.46728172257924805,0.43001495447583615
Ridge Regression,45.33091328155436,45.74179051540274,80.05365799490052,80.03967437133255,0.4033959640392568,0.4112854290790855
Extra Trees,45.06562951834165,46.26507553636705,80.93555339370307,81.98733297058291,0.39017881845414104,0.3822856691947605
